Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
Mobile App Dev for Restaurant Menu Search Tool,Mobile App Development,"$50,000 to $199,999",Mar. 2017 - Ongoing,"Blue Label Labs designed a location specific, swipe-based diet app that aggregates data from disparate sources. They completed the backend coding, UX/UI, and design of the app.",None,"Founder, HowUDish",Internet,1-10 Employees,"New York, New York",
iOS Mobile App Dev for Football Tailgate Search Tool,Mobile App Development,Confidential,June 2017 - Ongoing,"Blue Label Labs developed the UI, UX, and custom backend of an iOS application with multiple functionalities. They also yielded marketing and branding services, and continue to provide ongoing development.",Howard & Isaac Bush,"Co-Founders, Flock",Internet,1-10 Employees,"Charlotte, North Carolina",
Mobile App Dev for Experience Management Platform,Mobile App Development,"$50,000 to $199,999",Feb. 2017 - Ongoing,"Blue Label Labs built a cross-platform mobile app for Android and iOS. The team contributed to almost every aspect of the project, from design to project management, delivery, and managing the release process.",None,"Product Manager, Market Research Firm",Computer Software,"1,001-5,000 Employees","Seattle, Washington",
"""How To"" Apps for Global Organization",Development,"$10,000 to $49,999",None,"Blue Label Labs builta ""How-to app"" for iOS and Android to help delegates more easily access the necessary documents, resources, and forms they need for their procedural matters.",None,"Head of Office, Global Organization",Government,11-50 Employees,"New York, New York",
Android App Development for Web Design Studio,Development,Confidential,None,Blue Label Labs filled the gap for this web and interactive design studio by delivering an Android app to an end-client.,Allen Yee,"Creative Partner, Cloudred",Design,1-10 Employees,"New York, New York",
Web Dev for Science Education Student & Teacher Platforms,Web Development,"$1,000,000 - $9,999,999",Dec. 2014 - Ongoing,Atomic Object developed an iPad app and subsequently expanded it to aweb app thats integrated with tailored versions of Craft and Vanilla Forums. They now provide support and maintenance.,Bill Dinklemann,"Head of Product, Van Andel Education Institute",Research,201-500 Employees,"Grand Rapids, Michigan",
Ruby on Rails Web App Dev for On-Demand Nurse Visits,Web Development,Confidential,June - Oct. 2017,"Atomic Object developed an MVP and subsequent Ruby on Rails web application with incorporated branding and custom icons. The platform allows users to access, request, and receive medical care.",Anthony Lazzaro,"Co-Founder, Carol Health",Hospital & Healthcare,1-10 Employees,"Grand Rapids, Michigan",
iOS iPad Dev for Drug Testing Administrator,Development,Confidential,Feb. 2013 - Ongoing,"Atomic Object worked on an iOS iPad application development, beginning with initial consultations and wireframes, then designing and implementing the app. They continue to provide support and some re-development.",None,"CEO, Drug Testing Administrator","Health, Wellness & Fitness",11-50 Employees,United States,
Web App Dev for Hospital & Healthcare Non-Profit,Web Development,"$1,000,000 - $9,999,999",Oct. 2009 - Ongoing,"Atomic Object built a Ruby on Rails web application in the form of a questionnaire. They handled everything from the storyboarding, backend configuration, and the CSS, and ensured it is mobile-accessible.",Marina Ferguson,"Software Administrator, Covenant Retirement Communities",Hospital & Healthcare,"1,001 - 5,000 Employees","Chicago, Illinois",
App Dev for Large Scale Arts Event,Mobile App Development,"$1,000,000 - $9,999,999",Apr. 2009 - Ongoing,"Atomic Object developed, designed, and continues to improve Android and iOS apps. They implement UI/UX changes and provideproduct testing and maintenance.",None," Director of Technology, Arts Event",Arts & Crafts,11-50 Employees,"Grand Rapids, Michigan",
Angular.JS Dev for Cloud-based License Management System,Custom Software Development,"$50,000 to $199,999",Sept. 2017 - Jun. 2018,"Konstant Infosolutions helped create a solution to help users manage all of their estates in a single cloud-based environment. The team build the program and its features using AngularJS, AWS, and MongoDB.",Sanjay Singh,"CEO, Cloudkontrol",Computer Software,1-10 Employees,"Surrey, United Kingdom",
Web and Mobile App Dev for Healthcare Startup,Custom Software Development,"$10,000 to $49,999",May 2017 - Ongoing,"Konstant is developing a multi-platform tool to enable digital communication between doctors and patients. The app will be available on both iOS and Android, as well as in a web-based environment.",Zaw Min Tun,"CEO, Myancare",Healthcare,1-10 Employees,Myanmar,
Native App Development for Laundry Service Broker,Mobile App Development,"$10,000 to $49,999",Sept. - Dec. 2017,Konstant Infosolutions developed a native app for both iOS and Android that connects customers to on demand laundry service providers. They provided UI/UX design as well as backend development.,None,"Founder, Laundry Service App",Home Services,1-10 Employees,"Dubai, Saudi Arabia",
iOS Development for Nightlife App,Mobile App Development,"$10,000 to $49,999",Mar. 2017 - Jan. 2018,Konstant Infosolutions created the iOS version of a nightlife-oriented social media app. They developed the entire product and included a backend and administrative panel to manage it.,Ryan Ward,"Founder, OOTT App",Entertainment,1-10 Employees,New Jersey,
iOS & Android App Development for Gym Pass Exchange,Mobile App Development,"$10,000 to $49,999",Dec. 2017 - Apr. 2018,"Given existing designs, Konstant Infosolutions developed Android and iOS apps, building in payment and geolocation functionality. They also performed some database integration-related tasks.",Luke Sukkar,"Founder, Veeza",Health & Wellness,1-10 Employees,"Pitt Town, Autralia",
Outsourced Development of Fantasy Sports Platform,Web Development,"$50,000 to $199,999",Nov. 2015 - Ongoing,"Konstant Infosolutions is building a mobile responsive social platform, managing the front-/backend development. The interactive frontend allows users to engage in fantasy sports in real time.",None,"Co-founder, Fantasy Draft Social Platform",Entertainment,1-10 Employees,"Toronto, Canada",
Development of Audiobook Website & Apps,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - Ongoing,"Konstant is developing a website and native iOS/Android apps. The landing pageand apps are live, but other aspectsare incomplete. Functionalities include a subscription engine and in-app purchases.",None,"Co-Founder, Audiobook Apps",Media,1-10 Employees,Bahrain,
Development of Interpreter Apps & Website,Mobile App Development,"$50,000 to $199,999",Aug. 2017 - Ongoing,Konstant Infosolutions developed native iOS and Android apps as well as a website for an interpreter platform. They provide frontend and backend development services while the core function is through Twilio.,None,"Founder, Oyraa",Translation Services,1-10 Employees,"Tokyo, Japan",
Develop of App for Movie Theater Texting ,Mobile App Development,"$10,000 to $49,999",July 2016 - Ongoing,"Konstant Infosolutions built a mobile app that allows users to text discreetly and unobtrusively. The project involves very specific designs, API integration, and development of a social media feed.",None,"Founder, Discreet Messaging App",Software,1-10 Employees,"Anchorage, Alaska",
Website & iOS App for Ticketing Solution,Development,"$10,000 to $49,999",Mar. 2013 - Ongoing,Konstant developed a custom ticketing platform that integrates local payment gateways and is compatible with barcode scanners. The team also built a mobile version for iPhone.,None,"Founder, Event Ticketing Service",Entertainment,1-10 Employees,"Latvia, Nigeria",
Mobile App Development for Financial Services Platform,Mobile App Development,"$1,000,000 - $9,999,999",Nov. 2014 - Ongoing,Y Media Labs developed native iOS and Android mobile apps for a financial servcies firm to complement their web-based platform.,None,"Mobile Product Lead, Financial Services Platform",Financial Services,51-200 Employees,San Francisco Bay Area,
Native App Development for National Bank,Development,"$1,000,000 - $9,999,999",None,"YML delivered an initial version of an iOS/Android app to the client's card members, they're continuing to deliver enhancements. Additionally, YML is now improving UX/UI of their website.",None,"SVP Digital Marketing, Financial Services Company",Financial Services,5011001 Employees,"Las Vegas, Nevada",
App Development & Design for First Republic Bank,Development,"$1,000,000 - $9,999,999",None,"Y Media Labs initially helped the bank with visioning and strategy services. Following those services, Y Media Labs built a defined roadmap and helped to execute against it.",Matt Krogstad,"VP, First Republic Bank",Financial Services,10015000 Employees,"San Francisco, California",
Application Development for Medical Devices Company,Development,"$1,000,000 - $9,999,999",None,"Y Media Labs created and developed a simple, intuitive and effective user experience for the client's iOS products.",Moises Cruz,"Digital Product Lead, Cook Medical",Healthcare,"10,001+ Employees","Bloomington, Indianna",
Application Development for Educational Application Company,Development,"$200,000 to $999,999",None,Y Media Labs redesigned the clients educational apps to create a more engaging and intuitive user experience. This collaborative relationship is ongoing.,Bobby George,"CEO, Montessorium",Education,1-10 Employees,"Sioux Falls, South Dakota",
