Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
iOS & Android App Development for Gym Pass Exchange,Mobile App Development,"$10,000 to $49,999",Dec. 2017 - Apr. 2018,"Given existing designs, Konstant Infosolutions developed Android and iOS apps, building in payment and geolocation functionality. They also performed some database integration-related tasks.",Luke Sukkar,"Founder, Veeza",Health & Wellness,1-10 Employees,"Pitt Town, Autralia"
Outsourced Development of Fantasy Sports Platform,Web Development,"$50,000 to $199,999",Nov. 2015 - Ongoing,"Konstant Infosolutions is building a mobile responsive social platform, managing the front-/backend development. The interactive frontend allows users to engage in fantasy sports in real time.",None,"Co-founder, Fantasy Draft Social Platform",Entertainment,1-10 Employees,"Toronto, Canada"
Development of Audiobook Website & Apps,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - Ongoing,"Konstant is developing a website and native iOS/Android apps. The landing pageand apps are live, but other aspectsare incomplete. Functionalities include a subscription engine and in-app purchases.",None,"Co-Founder, Audiobook Apps",Media,1-10 Employees,Bahrain
Development of Interpreter Apps & Website,Mobile App Development,"$50,000 to $199,999",Aug. 2017 - Ongoing,Konstant Infosolutions developed native iOS and Android apps as well as a website for an interpreter platform. They provide frontend and backend development services while the core function is through Twilio.,None,"Founder, Oyraa",Translation Services,1-10 Employees,"Tokyo, Japan"
Develop of App for Movie Theater Texting ,Mobile App Development,"$10,000 to $49,999",July 2016 - Ongoing,"Konstant Infosolutions built a mobile app that allows users to text discreetly and unobtrusively. The project involves very specific designs, API integration, and development of a social media feed.",None,"Founder, Discreet Messaging App",Software,1-10 Employees,"Anchorage, Alaska"
Website & iOS App for Ticketing Solution,Development,"$10,000 to $49,999",Mar. 2013 - Ongoing,Konstant developed a custom ticketing platform that integrates local payment gateways and is compatible with barcode scanners. The team also built a mobile version for iPhone.,None,"Founder, Event Ticketing Service",Entertainment,1-10 Employees,"Latvia, Nigeria"
Frontend Dev for Custom Blockchain Company ,Custom Software Development,"$50,000 to $199,999",Sept. 2017 - Jan. 2018,"After providing recommendations and helping develop the scope of work, R-Style Lab managed frontend development for a token based customer referral solution.",None,"CMO, Blockchain Company",Financial Services,51-200 Employees,Denmark
App Dev for Facial Transformation Platform,Mobile App Development,"$50,000 to $199,999",Mar. 2017 - Ongoing,R-Style Lab provided a full-service solution for a selfie alteration app. The team performedweb/mobile development andUX/UI design. They created face morphing algorithms and a neural network library.,Elyza Azarova,"Co-Founder & Executive VP, Amabella Invest LDT",Healthcare & Life Sciences,1-10 Employees,Cyprus
Mobile App Dev for Educational Event Company,Mobile App Development,"$10,000 to $49,999",June - July 2017,R-Style Lab helped develop an iOS/Android app that integrated with an existingbackend service.,None,Founder & CEO,Education Management,11-50 Employees,"New York, New York"
PPC Management Software for PPC Agency,Custom Software Development,"$50,000 to $199,999",Feb. 2016 - Ongoing,"R-Style Lab developed a PPC platform that required AdWords and Bing Ads API experience. They provided custom coding for the platform, which is soon to be released.",None,"CTO, PPC Company",Advertising & Marketing,1-10 Employees,"Manchester, United Kingdom"
Subcontracted Project Work for Digital Agency,Custom Software Development,Confidential,2013 - Ongoing,R-Style is consistently subcontracted to support project overflow.Two noteworthy efforts include a mobile app for kids and a marketing campaign to increase visibility for a WordPress site.,None,Technical Direcor,Marketing & Advertising,201-500 Employees,"London, United Kingdom"
Mobile App Dev for Restaurant Delivery Company,Mobile App Development,"$50,000 to $199,999",Aug. 2016 - Ongoing,R-Style Labs designed and built iOS and Android versions of a mobile application for a technology restaurant business.,None,Co-Owner,Internet,1-10 Employees,Georgia
WordPress Web & API Dev for Management Company,Web Development,"$10,000 to $49,999",Mar. - June 2017,"R-Style Lab redesigned a website using WordPress. The team then built a web API,iOS and Android mobile apps using PHP, Objective-C, and Java. They also provided advice on minor updates.",Charles Washington,"Mobile Developer, Okun Enterprises",Marketing and Advertising,1-10 Employees,"San Diego Metro Area, California"
App Development for Machine Learning Startup,Development,"$50,000 to $199,999",None,"R-Style Lab's key engineer acted as a CTO [Chief Technology Officer] for this project, proposing different ideas and developing a quick, experimental prototype with complicated algorithms related to machine learning.",None,"CEO, Consumer Electronics Firm",Consumer Electronics,2-10 employees,"London, United Kingdom"
Java Development for Financial Services Company,Custom Software Development,Confidential,None,"R-Style Lab developed an internal time and project-management system. It was a mostly Java-based system. The partnership concluded after this one-time project, which was considered a success.",None,Founder & CEO,Financial Services,1-10 Employees,New York City Metro Area
Multiple WordPress Implementations for Digital Agency,Web Development,"$10,000 to $49,999",None,R-Style Lab provided developmental assistance on a number of WordPress sites. Their side of the project focused on functional developmentand integration of existingvisual designs.,Silje Willumsen Hansen,Project Manager at WhiteFox AS (Digital Agency),Computer Software,2-11 Employees,"Nordland County, Norway"
iOS Mobile Dev for Guided Meditation App,Mobile App Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,"App Partner built an iOS app with an expansive database. They did design, UX, and analytics and plan to make an Android version. They integrated a media player and push notifications into the app.",Jeffrey Charno,"Founder, BodyMind Sessions","Health, Wellness, & Fitness",1-10 Employees,"New York, New York"
iOS Mobile App Dev for Beauty Services Booking Platform,Mobile App Development,"$50,000 to $199,999",July 2017 - Apr. 2018,"App Partner created and now maintains a web and iOS accessible mobile app that connects businesses in the beauty industry with customers, as well as enables customers to post pictures, videos, and reviews.",None,"Founder, Beauty Services Platform",Internet,1-10 Employees,"New York, New York"
iOS Mobile Design & Development for Social Media Application,Mobile App Development,"$50,000 to $199,999",June 2014 - Aug. 2016,App Partner designed and created a social mobile app that integrated data across multiple platforms and included a user messaging feature.,None,"Founder, Mobile App",Internet,1-10 Employees,"New York, New York"
Mobile App Dev for Prom Dress Retailer,Mobile App Development,"$50,000 to $199,999",Apr. 2017 - Ongoing,App Partner both updated an outdated iOS app and built an Android version. They designed all the pages and integrated a speed shop feature that allows the user to make purchases within the app.,None,"Product Manager, Retail Company",Retail,51-200 Employees,"New York, New York"
Mobile App Dev for Smartphone Communication Devices,Mobile App Development,"$200,000 to $999,999",May 2014 - Ongoing,"For over three years, App Partner has augmented the engineering team to streamline and improve development. Theyupdate existing apps on Android and iOS, doing architect, design, code, and unit testing.",None,"COO, Communications Company",Consumer Electronics,11-50 Employees,"New York, New York"
iOS MVP Dev for Meal Hosting App,Mobile App Development,"$10,000 to $49,999",Jan. 2016 - Ongoing,App Partner developed an application that allows people to connect over a meal. They started with an initial static prototype and then built a MVP for iOS with minimal bugs.,Kerry Fulton,"Founder, Diner App Co.",Internet,1-10 Employees,"New York, New York"
Mobile App Dev for Social Media Marketing Agency,Mobile App Development,"$200,000 to $999,999",Oct. 2012 - Ongoing,"App Partner provides long-term support to a social agency, working on app development for iOS and Android. Theyve worked on the frontend design and the backend operating system of a variety of different apps.",Michael Mullarkey,"CEO, Brickfish",Marketing & Advertising,11-50 Employees,"Chicago, Illinois"
Mobile App Dev for Secure Location Services Platform,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - Ongoing,"App Partner helped a startup design, develop, and launchan iOS app. The app allows users to monitor proximity without compromising their privacy or revealing their exact location.",None,"Founder, Location Services App",Internet,1-10 Employees,"New York, New York"
